Epoch: 1, Train loss: 0.184, Val loss: 0.173, Epoch time = 166.888s
Epoch: 2, Train loss: 0.176, Val loss: 0.172, Epoch time = 160.552s
Epoch: 3, Train loss: 0.174, Val loss: 0.171, Epoch time = 160.300s
Epoch: 4, Train loss: 0.173, Val loss: 0.170, Epoch time = 159.543s
Epoch: 5, Train loss: 0.172, Val loss: 0.170, Epoch time = 159.467s
Epoch: 6, Train loss: 0.171, Val loss: 0.170, Epoch time = 159.471s
Epoch: 7, Train loss: 0.170, Val loss: 0.169, Epoch time = 159.272s
Epoch: 8, Train loss: 0.169, Val loss: 0.170, Epoch time = 159.074s
Epoch: 9, Train loss: 0.168, Val loss: 0.170, Epoch time = 159.626s
Epoch: 10, Train loss: 0.166, Val loss: 0.170, Epoch time = 159.649s
Epoch: 11, Train loss: 0.165, Val loss: 0.170, Epoch time = 159.622s
Epoch: 12, Train loss: 0.164, Val loss: 0.171, Epoch time = 159.572s
Epoch: 13, Train loss: 0.162, Val loss: 0.171, Epoch time = 159.607s
Epoch: 14, Train loss: 0.161, Val loss: 0.172, Epoch time = 159.609s
Epoch: 15, Train loss: 0.159, Val loss: 0.172, Epoch time = 159.360s
Epoch: 16, Train loss: 0.158, Val loss: 0.173, Epoch time = 159.636s
Epoch: 17, Train loss: 0.156, Val loss: 0.174, Epoch time = 159.686s
Epoch: 18, Train loss: 0.154, Val loss: 0.175, Epoch time = 159.629s
Epoch: 19, Train loss: 0.153, Val loss: 0.176, Epoch time = 159.602s
Epoch: 20, Train loss: 0.151, Val loss: 0.177, Epoch time = 159.302s
