Epoch: 1, Train loss: 0.83337, Val loss: 0.84581, Epoch time = 86.605s
Epoch: 2, Train loss: 0.80383, Val loss: 0.84250, Epoch time = 80.921s
Epoch: 3, Train loss: 0.80013, Val loss: 0.83918, Epoch time = 79.919s
Epoch: 4, Train loss: 0.79550, Val loss: 0.83407, Epoch time = 79.017s
Epoch: 5, Train loss: 0.79328, Val loss: 0.83081, Epoch time = 79.034s
Epoch: 6, Train loss: 0.79093, Val loss: 0.83338, Epoch time = 79.095s
Epoch: 7, Train loss: 0.78938, Val loss: 0.83207, Epoch time = 79.033s
Epoch: 8, Train loss: 0.78825, Val loss: 0.82838, Epoch time = 79.085s
Epoch: 9, Train loss: 0.78644, Val loss: 0.82617, Epoch time = 79.139s
Epoch: 10, Train loss: 0.78463, Val loss: 0.82613, Epoch time = 79.099s
Epoch: 11, Train loss: 0.78282, Val loss: 0.82542, Epoch time = 79.079s
Epoch: 12, Train loss: 0.78167, Val loss: 0.82360, Epoch time = 79.115s
Epoch: 13, Train loss: 0.77976, Val loss: 0.82547, Epoch time = 79.096s
Epoch: 14, Train loss: 0.77797, Val loss: 0.82230, Epoch time = 79.098s
Epoch: 15, Train loss: 0.77655, Val loss: 0.82471, Epoch time = 79.070s
Epoch: 16, Train loss: 0.77481, Val loss: 0.82291, Epoch time = 80.166s
Epoch: 17, Train loss: 0.77259, Val loss: 0.82205, Epoch time = 79.517s
Epoch: 18, Train loss: 0.77081, Val loss: 0.82468, Epoch time = 79.105s
Epoch: 19, Train loss: 0.76912, Val loss: 0.82420, Epoch time = 79.178s
Epoch: 20, Train loss: 0.76676, Val loss: 0.82520, Epoch time = 79.114s
Epoch: 21, Train loss: 0.76456, Val loss: 0.82602, Epoch time = 81.922s
Epoch: 22, Train loss: 0.76183, Val loss: 0.82831, Epoch time = 86.760s
