Epoch: 1, Train loss: 0.49019, Val loss: 0.32358, Epoch time = 1.622s
Epoch: 2, Train loss: 0.28304, Val loss: 0.27281, Epoch time = 0.444s
Epoch: 3, Train loss: 0.26638, Val loss: 0.26836, Epoch time = 0.447s
Epoch: 4, Train loss: 0.26309, Val loss: 0.26515, Epoch time = 0.678s
Epoch: 5, Train loss: 0.25983, Val loss: 0.26170, Epoch time = 0.445s
Epoch: 6, Train loss: 0.25593, Val loss: 0.25715, Epoch time = 1.064s
Epoch: 7, Train loss: 0.25061, Val loss: 0.25061, Epoch time = 0.445s
Epoch: 8, Train loss: 0.24332, Val loss: 0.24231, Epoch time = 0.451s
Epoch: 9, Train loss: 0.23505, Val loss: 0.23405, Epoch time = 0.441s
Epoch: 10, Train loss: 0.22767, Val loss: 0.22698, Epoch time = 0.516s
Epoch: 11, Train loss: 0.22115, Val loss: 0.22087, Epoch time = 1.057s
Epoch: 12, Train loss: 0.21569, Val loss: 0.21579, Epoch time = 0.514s
Epoch: 13, Train loss: 0.21120, Val loss: 0.21163, Epoch time = 0.890s
Epoch: 14, Train loss: 0.20749, Val loss: 0.20815, Epoch time = 0.802s
Epoch: 15, Train loss: 0.20433, Val loss: 0.20508, Epoch time = 0.446s
Epoch: 16, Train loss: 0.20153, Val loss: 0.20234, Epoch time = 1.338s
Epoch: 17, Train loss: 0.19906, Val loss: 0.19991, Epoch time = 0.948s
Epoch: 18, Train loss: 0.19681, Val loss: 0.19769, Epoch time = 1.402s
Epoch: 19, Train loss: 0.19476, Val loss: 0.19566, Epoch time = 0.608s
Epoch: 20, Train loss: 0.19291, Val loss: 0.19380, Epoch time = 0.501s
Epoch: 21, Train loss: 0.19121, Val loss: 0.19214, Epoch time = 0.841s
Epoch: 22, Train loss: 0.18971, Val loss: 0.19069, Epoch time = 0.770s
Epoch: 23, Train loss: 0.18837, Val loss: 0.18935, Epoch time = 0.521s
Epoch: 24, Train loss: 0.18723, Val loss: 0.18823, Epoch time = 0.511s
Epoch: 25, Train loss: 0.18619, Val loss: 0.18724, Epoch time = 0.452s
Epoch: 26, Train loss: 0.18533, Val loss: 0.18635, Epoch time = 0.453s
Epoch: 27, Train loss: 0.18451, Val loss: 0.18555, Epoch time = 0.447s
Epoch: 28, Train loss: 0.18380, Val loss: 0.18483, Epoch time = 0.464s
Epoch: 29, Train loss: 0.18312, Val loss: 0.18415, Epoch time = 0.479s
Epoch: 30, Train loss: 0.18249, Val loss: 0.18352, Epoch time = 0.454s
Epoch: 31, Train loss: 0.18189, Val loss: 0.18290, Epoch time = 0.831s
Epoch: 32, Train loss: 0.18130, Val loss: 0.18232, Epoch time = 0.422s
Epoch: 33, Train loss: 0.18079, Val loss: 0.18177, Epoch time = 0.419s
Epoch: 34, Train loss: 0.18023, Val loss: 0.18123, Epoch time = 0.554s
Epoch: 35, Train loss: 0.17972, Val loss: 0.18076, Epoch time = 0.472s
Epoch: 36, Train loss: 0.17928, Val loss: 0.18027, Epoch time = 0.427s
Epoch: 37, Train loss: 0.17883, Val loss: 0.17979, Epoch time = 0.851s
Epoch: 38, Train loss: 0.17842, Val loss: 0.17938, Epoch time = 1.158s
