Epoch: 1, Train loss: 0.195, Val loss: 0.165, Epoch time = 88.053s
Epoch: 2, Train loss: 0.167, Val loss: 0.163, Epoch time = 85.595s
Epoch: 3, Train loss: 0.164, Val loss: 0.158, Epoch time = 85.330s
Epoch: 4, Train loss: 0.160, Val loss: 0.156, Epoch time = 84.017s
Epoch: 5, Train loss: 0.158, Val loss: 0.153, Epoch time = 85.243s
Epoch: 6, Train loss: 0.156, Val loss: 0.152, Epoch time = 84.598s
Epoch: 7, Train loss: 0.154, Val loss: 0.151, Epoch time = 84.599s
Epoch: 8, Train loss: 0.152, Val loss: 0.150, Epoch time = 84.192s
Epoch: 9, Train loss: 0.150, Val loss: 0.148, Epoch time = 84.053s
Epoch: 10, Train loss: 0.148, Val loss: 0.147, Epoch time = 84.126s
Epoch: 11, Train loss: 0.146, Val loss: 0.147, Epoch time = 84.098s
Epoch: 12, Train loss: 0.145, Val loss: 0.145, Epoch time = 84.193s
Epoch: 13, Train loss: 0.143, Val loss: 0.145, Epoch time = 84.238s
Epoch: 14, Train loss: 0.142, Val loss: 0.145, Epoch time = 84.163s
Epoch: 15, Train loss: 0.140, Val loss: 0.145, Epoch time = 84.045s
Epoch: 16, Train loss: 0.138, Val loss: 0.145, Epoch time = 84.861s
Epoch: 17, Train loss: 0.136, Val loss: 0.145, Epoch time = 84.914s
Epoch: 18, Train loss: 0.134, Val loss: 0.145, Epoch time = 86.523s
Epoch: 19, Train loss: 0.132, Val loss: 0.146, Epoch time = 86.319s
